step,time(s),sat_id,pos_x(km),pos_y(km),pos_z(km),vel_x(km/s),vel_y(km/s),vel_z(km/s),fuel(kg),formation,strategy
2,30.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
2,30.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
2,30.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
2,30.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
3,40.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
3,40.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
3,40.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
3,40.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
3,40.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
3,40.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
3,40.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
3,40.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
3,40.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
4,50.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
4,50.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
4,50.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
4,50.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
4,50.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
4,50.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
4,50.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
4,50.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
4,50.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
5,60.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
5,60.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
5,60.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
5,60.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
5,60.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
5,60.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
5,60.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
5,60.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
5,60.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
6,70.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
6,70.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
6,70.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
6,70.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
6,70.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
6,70.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
6,70.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
6,70.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
6,70.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
7,80.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
7,80.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
7,80.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
7,80.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
7,80.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
7,80.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
7,80.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
7,80.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
7,80.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
8,90.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
8,90.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
8,90.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
8,90.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
8,90.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
8,90.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
8,90.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
8,90.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
8,90.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
9,100.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
9,100.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
9,100.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
9,100.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
9,100.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
9,100.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
9,100.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
9,100.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
9,100.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
10,110.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
10,110.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
10,110.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
10,110.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
10,110.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
10,110.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
10,110.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
10,110.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
10,110.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
11,120.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
11,120.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
11,120.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
11,120.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
11,120.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
11,120.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
11,120.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
11,120.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
11,120.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
12,130.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
12,130.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
12,130.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
12,130.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
12,130.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
12,130.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
12,130.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
12,130.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
12,130.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
13,140.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
13,140.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
13,140.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
13,140.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
13,140.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
13,140.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
13,140.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
13,140.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
13,140.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
14,150.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
14,150.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
14,150.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
14,150.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
14,150.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
14,150.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
14,150.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
14,150.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
14,150.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
15,160.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
15,160.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
15,160.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
15,160.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
15,160.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
15,160.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
15,160.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
15,160.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
15,160.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
16,170.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
16,170.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
16,170.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
16,170.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
16,170.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
16,170.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
16,170.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
16,170.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
16,170.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
17,180.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
17,180.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
17,180.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
17,180.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
17,180.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
17,180.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
17,180.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
17,180.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
17,180.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
18,190.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
18,190.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
18,190.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
18,190.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
18,190.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
18,190.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
18,190.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
18,190.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
18,190.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
19,200.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
19,200.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
19,200.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
19,200.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
19,200.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
19,200.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
19,200.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
19,200.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
19,200.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
20,210.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
20,210.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
20,210.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
20,210.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
20,210.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
20,210.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
20,210.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
20,210.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
20,210.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
21,220.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
21,220.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
21,220.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
21,220.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
21,220.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
21,220.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
21,220.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
21,220.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
21,220.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
22,230.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
22,230.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
22,230.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
22,230.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
22,230.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
22,230.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
22,230.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
22,230.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
22,230.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
23,240.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
23,240.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
23,240.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
23,240.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
23,240.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
23,240.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
23,240.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
23,240.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
23,240.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
24,250.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
24,250.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
24,250.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
24,250.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
24,250.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
24,250.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
24,250.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
24,250.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
24,250.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
25,260.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
25,260.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
25,260.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
25,260.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
25,260.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
25,260.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
25,260.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
25,260.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
25,260.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
26,270.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
26,270.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
26,270.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
26,270.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
26,270.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
26,270.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
26,270.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
26,270.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
26,270.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
27,280.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
27,280.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
27,280.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
27,280.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
27,280.00,1004,42154326.011432,-77133.968811,-54415.263482,0.000000,7546.000000,0.000000,1000.00,1,1
27,280.00,1005,42162018.887885,-111062.865966,-58678.679696,0.000000,7546.000000,0.000000,1000.00,1,1
27,280.00,1006,42164258.647888,101733.670408,16895.974889,0.000000,7546.000000,0.000000,1000.00,1,2
27,280.00,1007,42164485.743801,-1925.103903,70916.253583,0.000000,7546.000000,0.000000,1000.00,0,2
27,280.00,1008,42164534.899584,80974.150883,-14965.706686,0.000000,7546.000000,0.000000,1000.00,1,2
28,290.00,1000,42170803.754343,-31685.121954,42464.883564,0.000000,7546.000000,0.000000,1000.00,0,0
28,290.00,1001,42157951.027386,-49433.173286,40234.439222,0.000000,7546.000000,0.000000,1000.00,0,0
28,290.00,1002,42163547.941037,38661.277429,-20282.329081,0.000000,7546.000000,0.000000,1000.00,1,0
28,290.00,1003,42172323.901360,40713.518388,32594.539415,0.000000,7546.000000,0.000000,1000.00,1,1
